Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"green to blue","daniel.mp3","Backroom","Favorite Songs","Favorite","SE6SA2227610","4zzxSXdXK4gLEOyGpPpb9v"
"Die With A Smile","Lady Gaga","Die With A Smile","Favorite Songs","Favorite","USUM72409273","2plbrEY59IikOBgBGLjaoe"
"Mary On A Cross","Ghost","Seven Inches of Satanic Panic","Favorite Songs","Favorite","USC4R1902750","2wBnZdVWa5jVpvYRfGU7rP"
"2 days into college","Aimee Carty","2 days into college","Favorite Songs","Favorite","QZWFH2353735","3J7xAcSC9UGaJDANSUBJpy"
"Worst Day","Laura Nahr","Worst Day","Favorite Songs","Favorite","QMFMF2412479","34WEgaMkqYHT9316Pf9gxT"
"DRIP","BABYMONSTER","DRIP","Favorite Songs","Favorite","KRA402400056","198zDKzyktXRG1PGpidY9h"
"sabishii","NIB","nanimonai","Favorite Songs","Favorite","QM42K1930250","16We6VzcbcoNjnctBYN3Lr"
"APT.","ROSÉ","APT.","Favorite Songs","Favorite","USAT22409172","5vNRhkKd0yEAg8suGBpjeY"
"Touch","KATSEYE","SIS (Soft Is Strong)","Favorite Songs","Favorite","USUM72407248","3NyZXtW72Gb42RaqLt7fh9"
"Carry You Home","Alex Warren","Carry You Home","Favorite Songs","Favorite","USAT22403017","4uzKAj0mIyYmyhsRRyPXaQ"
"Falling","Harry Styles","Fine Line","Favorite Songs","Favorite","USSM11912590","1ZMiCix7XSAbfAJlEZWMCp"
"Take Me Home","ZUBIN","Take Me Home","Favorite Songs","Favorite","QZFZ32492342","09VP3MkHbI4TvJUMxB03Z4"
"Don't stop loving","shimamo","Don't stop loving","Favorite Songs","Favorite","JPWP02400812","4XK0xqjjxWKILttKapCDuG"
"MIRROR","Ado","MIRROR","Favorite Songs","Favorite","JPPO02402466","0NtfH5RUt4V3Vzh18Wuc23"
"If I Ain't Got You","Alicia Keys","The Diary Of Alicia Keys","Favorite Songs","Favorite","USJAY0300452","3XVBdLihbNbxUwZosxcGuJ"
"CROW","UPIKO","CROW","Favorite Songs","Favorite","TCJPY2368077","0QGWqZnE4C5MU4YMWG9BOk"
"The Fire","Vincent Lima","The Fire","Favorite Songs","Favorite","QZHN72499012","0loaM97K2TYp3KzKzQCycL"
"RATATATA","BABYMETAL","RATATATA","Favorite Songs","Favorite","GBDHC2549601","14WYmNQWvR2TTWoRp8t9Ml"
"The Search","NF","The Search","Favorite Songs","Favorite","USUM71907048","2OKo7g3KfmCt3kyLvUAL0g"
"Heart On Fire In Mexico","Abby Anderson","Heart On Fire In Mexico","Favorite Songs","Favorite","QZVQW2300012","72SRZVihNBosupaENmkdrv"
"Stargazing","Myles Smith","Stargazing","Favorite Songs","Favorite","GBARL2400510","3Vr3zh0r7ALn8VLqCiRR10"
"Lose Control","Teddy Swims","I've Tried Everything But Therapy (Part 1)","Favorite Songs","Favorite","USWB12302315","17phhZDn6oGtzMe56NuWvj"
"FIGURE IT OUT","Chandler","FIGURE IT OUT","Favorite Songs","Favorite","QZQAY2312387","0RQDBCsED70Qfq1CdRvavd"
"The Last Bit Of Us","Dean Lewis","The Last Bit Of Us (Chuksie Remix)","Favorite Songs","Favorite","AUUM72400055","449u0gc26IelH6yboZXHje"
"Soldier, Poet, King","The Oh Hellos","Dear Wormwood","Favorite Songs","Favorite","USAT21502721","3xtiXNDbSKxy20I7D6vFUg"
"someday i'll get it","Alek Olsen","someday i'll get it","Favorite Songs","Favorite","GBMJG2330804","1lb0KfG9EyfSBsEifTUtXY"
"The Last Bit Of Us","Dean Lewis","The Last Bit Of Us","Favorite Songs","Favorite","AUUM72400055","3cgHwqbHcu1DKFADvkgPJ7"
"High Hopes","Gabriela Bee","High Hopes","Favorite Songs","Favorite","USDY41920522","7hXBXf9eGOqKQBUeWZAYHy"
"Cute and Happy","Irene Wong","Cute and Happy","Favorite Songs","Favorite","QZPEW2404250","3HAbJmoxyrk4QVZjlBSzqL"
"At Last","Etta James","At Last!","Favorite Songs","Favorite","USMC16046323","4Hhv2vrOTy89HFRcjU3QOx"
"我会等","承桓","我会等","Favorite Songs","Favorite","FR96X2399453","5Rzpn60KTM11EBETHaF9Kt"
"Fuck This Job","Wheeler Walker Jr.","Ram","Favorite Songs","Favorite","QZYBY2300508","6ssME0W7TX3dlTDpSu8TuN"
"ハレハレヤ","UniteUp!","ハレハレヤ","Favorite Songs","Favorite","JPP302101961","6gBHA0wQbD4hwCLtOsmkw9"
"Under The Influence","Chris Brown","Indigo (Extended)","Favorite Songs","Favorite","USRC11902743","5IgjP7X4th6nMNDh4akUHb"
"I Sent My Therapist To Therapy","Alec Benjamin","I Sent My Therapist To Therapy","Favorite Songs","Favorite","USAT22312718","6ofVkSSWsDcnzRCNwrvpXB"
"我期待的不是雪","张妙格","我期待的不是雪","Favorite Songs","Favorite","HKG731670098","2deIA64Gfsm50VTsKwrxnQ"
"Favorite Skeleton","Irene Wong","Favorite Skeleton","Favorite Songs","Favorite","AUBEC2349309","0YYQOfiakCVDS5HUFE5fAo"
"The Legendary Christmas Song","JR De Guzman","The Legendary Christmas Song","Favorite Songs","Favorite","QZNWZ2026808","49MUYL1OP2UyUwbUYK69oH"
"Older","Sasha Alex Sloan","Loser","Favorite Songs","Favorite","USRC11803527","3kywzyEr7V106Un5cDyh12"
"Houdini","Dua Lipa","Houdini","Favorite Songs","Favorite","GBAHT2301246","4OMJGnvZfDvsePyCwRGO7X"
"Monster","John Michael Howell","Monster","Favorite Songs","Favorite","QZTB82330655","5YPGUtOirrOgAXIPNLTWMw"
"ASI ES LA VIDA","Enrique Iglesias","ASI ES LA VIDA","Favorite Songs","Favorite","USSD12300536","0Me3GyNuLOa1YTIxhJPyCn"
"Summertime Friends","The Chainsmokers","Summertime Friends","Favorite Songs","Favorite","USQX92304752","7JLzv38qr5GxXYqQfuQJP9"
"I WANNA BE YOUR SLAVE","Måneskin","Teatro d'ira - Vol. I","Favorite Songs","Favorite","ITB002100115","4pt5fDVTg5GhEvEtlz9dKk"
"24","sundial","24","Favorite Songs","Favorite","USLD91734680","5nsMKSAJwcr1pA9I6PW429"
"Kids","MGMT","Oracular Spectacular","Favorite Songs","Favorite","USSM10702135","1jJci4qxiYcOHhQR247rEU"
"Breezeblocks","alt-J","An Awesome Wave","Favorite Songs","Favorite","GBZUZ1200067","3n69hLUdIsSa1WlRmjMZlW"
"Demon Lord","Kanaria","Demon Lord","Favorite Songs","Favorite","TCJPW2365804","4jbz6Ab49pUqFbZcSslx66"
"NOT SORRY (Feat. pH-1) (Prod. by Slom)","Lee Young Ji","SHOW ME THE MONEY 11 Episode 3","Favorite Songs","Favorite","KRA492201271","5UOY3OZib7H4KFwTfsT66g"
"Afraid of the Dark","TALK","Afraid of the Dark","Favorite Songs","Favorite","USUM72304804","6iuaN8P73TOrTo4MCFpIc8"
"Fucked By A Country Boy","Wheeler Walker Jr.","Sex, Drugs & Country Music","Favorite Songs","Favorite","QM4TW2226691","63yKYYjKljMstTl4JNnSiS"
"Eat Your Young","Hozier","Eat Your Young","Favorite Songs","Favorite","USSM12300491","2Jw3VjB1xy5KHBqEeAC6VK"
"OK","Jeremy Zucker","OK","Favorite Songs","Favorite","USUM72306541","2RSAu3AGDi2sPhYEjSZmzv"
"Acróstico - Milan + Sasha","Shakira","Acróstico (Milan + Sasha)","Favorite Songs","Favorite","USQX92302824","7txjUEY6McJDJKqIo1Rxjp"
"Cupid - Twin Ver.","FIFTY FIFTY","The Beginning: Cupid","Favorite Songs","Favorite","KSA012239181","7FbrGaHYVDmfr7KoLIZnQ7"
"アイドル","YOASOBI","アイドル","Favorite Songs","Favorite","JPP302300157","7ovUcF5uHTBRzUpB6ZOmvt"
"Requiem (feat. Hoshimachi Suisei)","Kanaria","Requiem (feat. Hoshimachi Suisei)","Favorite Songs","Favorite","TCJPV2364365","22EHB5z2GwYNPA1wZ3LtL4"
"Until I Found You (with Em Beihold) - Em Beihold Version","Stephen Sanchez","Until I Found You (Em Beihold Version)","Favorite Songs","Favorite","USUG12202266","1Y3LN4zO1Edc2EluIoSPJN"
"Lemon","Kenshi Yonezu","STRAY SHEEP","Favorite Songs","Favorite","JPU901800227","04TshWXkhV1qkqHzf31Hn6"
"Kokoronashi","majiko","Contrast","Favorite Songs","Favorite","JPC231500557","1FXrYwvWwjmbw8cqFC1OWz"
"this is what sadness feels like","JVKE","this is what ____ feels like (Vol. 1-4)","Favorite Songs","Favorite","GBKPL2210364","5GpYt1p4z2EPVKv5t7XDof"
"I'll Be Good","Jaymes Young","Feel Something","Favorite Songs","Favorite","USAT21403991","4JuJZzGcswQszYiKJSnC6i"
"Loved You Once","Clara Mae","Drunk On Emotions","Favorite Songs","Favorite","USAT21903505","6cc7nzmG4iClAyl47BOf2Z"
"Stone Cold","Demi Lovato","Confident","Favorite Songs","Favorite","USHR11536744","3by8IfnW9dZ2t4pZw1WVxz"
"アイデンティティ","Kanaria","アイデンティティ","Favorite Songs","Favorite","JPE562200019","4X3L6G6KDs0jBKvfTkmKmi"
"NIGHT DANCER","imase","NIGHT DANCER","Favorite Songs","Favorite","JPPO02202918","348NF6vX0Yh22xvH0EZEro"
"Just Enough Whiskey","Nightshift","I Left Home","Favorite Songs","Favorite","QZMER2197134","689barEI0C49BTyB3P0LS6"
"優しい恋人","shimamo","優しい恋人","Favorite Songs","Favorite","JPWP02202473","20RdpyzBu94gLDFKYBtjBN"
"Another Love","Tom Odell","Long Way Down","Favorite Songs","Favorite","GBARL1300107","7otCGmgp9h4CsR2LhwB6gt"
"Sad Song (feat. Elena Coats)","We The Kings","Somewhere Somehow","Favorite Songs","Favorite","QMGKG1300017","05CrK6Q5VGtfPDtyQFJ4Kf"
"you broke me first","Tate McRae","you broke me first","Favorite Songs","Favorite","USRC12000832","45bE4HXI0AwGZXfZtMp8JR"
"Iris","The Goo Goo Dolls","Dizzy up the Girl","Favorite Songs","Favorite","USWB19800160","6Qyc6fS4DsZjB2mRW9DsQs"
"Heart Problem","Caroline Dare","Heart Problem","Favorite Songs","Favorite","QZDA82152542","59tolr22QPXGEfykN5Y3lD"
"Love Is Gone - Acoustic","SLANDER","Love Is Gone (Acoustic)","Favorite Songs","Favorite","CA5KR1969481","7F1CiKqrY44kh5cDqwHOnx"
"死ぬのがいいわ","Fujii Kaze","The Best J-Pop 2022","Favorite Songs","Favorite","JPPO02000610","54mG1R0iqWi7COJrHAXSkg"
"F64","Ed Sheeran","F64","Favorite Songs","Favorite","GBAHS2300021","5DFi6D7SrYHRIgZbY5MqqE"
"almond eyes","Clavita","almond eyes","Favorite Songs","Favorite","QZTB22265579","0UQqXykR504ftBmPR2XlwM"
"Need You Now","Lady A","Need You Now","Favorite Songs","Favorite","USCN10900696","11EX5yhxr9Ihl3IN1asrfK"
"Say So - Japanese Version","Rainych","Say So (Japanese Version)","Favorite Songs","Favorite","QZGWW2069160","5ffxZNBRjeN0zONSHN7hUC"
"Overdose","Rainych","Overdose","Favorite Songs","Favorite","QZPJ32228312","4p7J2EdXgnzcTxoAmL703z"
"The End","Elliot Greer","The End","Favorite Songs","Favorite","QZTB82226194","7qkX2mHStdrHVC2NFWqwpo"
"Past Lives","BØRNS","Dopamine","Favorite Songs","Favorite","USUM71512366","1Dr5JexwA15wmKe7Y7maA9"
"you were good to me","Jeremy Zucker","brent","Favorite Songs","Favorite","USUM71906797","4CxFN5zON70B3VOPBYbd6P"
"comethru","Jeremy Zucker","summer,","Favorite Songs","Favorite","USUM71813455","18uwL0vNUanqZH0ro2QcOP"
"this is how you fall in love","Jeremy Zucker","brent ii","Favorite Songs","Favorite","USUM72024519","1aEsTgCsv8nOjEgyEoRCpS"
"Take Me to Your Heart","Michael Learns To Rock","Michael Learns To Rock","Favorite Songs","Favorite","DKABA0308303","7rdtBpPpe4knfd7aD98h9X"
"That's Why You Go Away","Michael Learns To Rock","Strange Foreign Beauty","Favorite Songs","Favorite","DKABA9901223","2ccW4vFSVKRgVjkZzvdjRw"
"Bury Me - Sana Remix","SFINX","Bury Me (Sana Remix)","Favorite Songs","Favorite","QMDA72287010","69ypkQ48dGQwEj9hepRfFV"
"Yesterday Once More","Carpenters","Now & Then","Favorite Songs","Favorite","USWWW0131707","24Qo0pcx4gjBNQNp1cTOVw"
"Red Flags (feat. Montaigne)","Tom Cardy","Red Flags (feat. Montaigne)","Favorite Songs","Favorite","AUGBT2229809","08SBqVoXF7ngoZYgPdDYf8"
"Cure For Me","AURORA","Cure For Me","Favorite Songs","Favorite","GBUM72102146","5suiloWwRiQdhFeb9YSGQT"
"ミューシック","shimamo","ミューシック","Favorite Songs","Favorite","JPWP02202054","4mxBcgPNlOI9QvPswNnHVT"
"Rendezvous","Kanaria","Rendezvous","Favorite Songs","Favorite","TCJPT2258673","7gspVQa13prQbNABCRacwE"
"perfect","Zevia","perfect","Favorite Songs","Favorite","USQX92205335","1O2P4wYlTnQ44osWR5KABJ"
"Before He Cheats","Carrie Underwood","Some Hearts","Favorite Songs","Favorite","GBCTA0500197","0ZUo4YjG4saFnEJhdWp9Bt"
"Forget Me","Lewis Capaldi","Forget Me (Piano Acoustic)","Favorite Songs","Favorite","DEUM72204717","71TpszSqwNZIziARbA64mO"
"Car's Outside","James Arthur","YOU","Favorite Songs","Favorite","DEE861903416","0otRX6Z89qKkHkQ9OqJpKt"
"Miss Me Too","Katherine Li","Miss Me Too","Favorite Songs","Favorite","SGB502251332","7dCZc6VWhdROmkol6ZlBOr"
"KICK BACK","Kenshi Yonezu","KICK BACK","Favorite Songs","Favorite","JPU902203702","3khEEPRyBeOUabbmOPJzAG"
"忘れじの言の葉","DAZBEE","Remindful.Two","Favorite Songs","Favorite","JPPO02201832","3bhP5Db4ZBcvqE0oJRLzhU"
"Rapport","Tatsuya Kitani","Rapport","Favorite Songs","Favorite","JPU902104773","0e4HssKedndIhLoDpkwBNH"
"混ぜるな危険","tricot","真っ黒","Favorite Songs","Favorite","JPB602000105","3WWslYheowgYhLk1wrW0T0"
"Waves","Dean Lewis","A Place We Knew","Favorite Songs","Favorite","AUUM71600906","6w8pFOKn42O418qwcQElZ3"
"Half A Man","Dean Lewis","A Place We Knew","Favorite Songs","Favorite","AUUM71800258","1ugQtcwmKOXvKAYzhjncmv"
"Be Alright","Dean Lewis","A Place We Knew","Favorite Songs","Favorite","AUUM71800255","5qrSlOut2rNAWv3ubArkNy"
"Not Like I’m In Love With You","LEW","Not Like I’m In Love With You","Favorite Songs","Favorite","QZUNA2200003","3A9x6yHdlP1H5BY5Pz3l7P"
"little more","FAKY","little more","Favorite Songs","Favorite","JPB602003267","32xcUwMaqqfyrKxZmTvUD2"
"Gangsta's Paradise","Coolio","Gangsta's Paradise","Favorite Songs","Favorite","USTB10400128","1DIXPcTDzTj8ZMHt3PDt8p"
"drivers license - Spotify Singles","Lewis Capaldi","Spotify Singles","Favorite Songs","Favorite","DEUM72206341","10wk4XQdba4QpHgFb28Ktk"
"Forget Me - Spotify Singles","Lewis Capaldi","Spotify Singles","Favorite Songs","Favorite","DEUM72206340","2IIMt19xJuWIHVmfpd9jH8"
"Objectified","Sophie Frear","Objectified","Favorite Songs","Favorite","UK6KW2200005","01OqRStMWNDg6Qm4fUqdoX"
"Live, Laugh, Love","Abe Parker","Live, Laugh, Love","Favorite Songs","Favorite","QZPY62200124","6smMEA2Cx1I6QuxNlyZuXt"
"I Really Want to Stay at Your House","Rosa Walton","Cyberpunk 2077: Radio, Vol. 2 (Original Soundtrack)","Favorite Songs","Favorite","USLS52081705","7mykoq6R3BArsSpNDjFQTm"
"Let You Down","Dawid Podsiadło","Let You Down","Favorite Songs","Favorite","PLL892200029","1qpGMJi0ippCaMUOs7cz2q"
"I'm So Happy (with BENEE)","Jeremy Zucker","I'm So Happy","Favorite Songs","Favorite","USUM72216646","16Fxe5DvEXRxQwcorFyaIO"
"Quiet's Theme","Stefanie Joosten","METAL GEAR SOLID Ⅴ ORIGINAL SOUNDTRACK SELECTION","Favorite Songs","Favorite","JPM201500641","1gxtw8gtzgh5ryEfH6v8vL"
"Forget Me","Lewis Capaldi","Forget Me","Favorite Songs","Favorite","DEUM72204717","5uSFGgIfHMT3osrAd9n9ym"
"NYU - Edit","Tom Kench","NYU","Favorite Songs","Favorite","GBKQU2268557","02r9Bce6wCNZVcAuFgdjzE"
"High Hopes","Panic! At The Disco","Pray for the Wicked","Favorite Songs","Favorite","USAT21801174","1rqqCSm0Qe4I9rUvWncaom"
"Glimpse of Us (Her Perspective)","Lindsey Jade","Glimpse of Us (Her Perspective)","Favorite Songs","Favorite","TCAGJ2240321","4dBEjEcM90vRGuUOOTJxWU"
"i don't want to watch the world end with someone else","Clinton Kane","i don't want to watch the world end with someone else","Favorite Songs","Favorite","USSM12002186","58qX77t2VWMWcycsh9zKLc"
"Narcissist","Lauren Spencer Smith","Narcissist","Favorite Songs","Favorite","USUG12204962","23oYG6HAbahMQEtjk0M7GK"
"Memory Lane","Haley Joelle","Memory Lane","Favorite Songs","Favorite","QZTAT2160539","1KMEDSIl2j1NwYa9mgvMyg"
"QUEEN","Kanaria","QUEEN","Favorite Songs","Favorite","TCJPS2270549","32zpHDchUY83w80C8mMtOs"
"Jealous","Labrinth","Jealous - EP","Favorite Songs","Favorite","GBHMU1400291","4G92yYrUs0cvY7G41YRI0z"
"In The Stars","Benson Boone","In The Stars","Favorite Songs","Favorite","USWB12201574","1ei3hzQmrgealgRKFxIcWn"
"So Good","Halsey","So Good","Favorite Songs","Favorite","USUM72208998","6kxaaIeowajN7w21PfMLbu"
"Sleeping in the Cold Below (From ""Warframe"")","Keith Power","Sleeping in the Cold Below (From ""Warframe"")","Favorite Songs","Favorite","usdy42164512","7nq8DgNdgYGihJrZYB221C"
"From The D 2 The LBC (with Snoop Dogg)","Eminem","From The D 2 The LBC (with Snoop Dogg)","Favorite Songs","Favorite","USUG12204350","7My9ca9QEIR8MvIOdIrTWA"
"Short Change Hero","The Heavy","The House That Dirt Built","Favorite Songs","Favorite","GBCFB0901504","7JOizhmt3HlBgQyJEa0AgK"
"たぶん","YOASOBI","たぶん","Favorite Songs","Favorite","JPP302000323","62Lv9WcrfzJqhvYDbilJy3"
"ごめんなんか聞きたくなかった","こはならむ","ごめんなんか聞きたくなかった","Favorite Songs","Favorite","TCJPO2167617","5Lngv5YucvD034BkzQdyDN"
"Glimpse of Us","Joji","Glimpse of Us","Favorite Songs","Favorite","USWB12201789","6xGruZOHLs39ZbVccQTuPZ"
"色香水","Yoh kamiyama","色香水","Favorite Songs","Favorite","JPU902100005","7FpABRyv5TaZz0llkhjPgc"
"好きだから。","『ユイカ』","好きだから。","Favorite Songs","Favorite","JPPO02101687","02xwA3Ej9NPetftp9V7VZ3"
"life, im over you","Zevia","we're all sad here","Favorite Songs","Favorite","QZJG52240339","5RQwYJPOkEnl38hFVrylP3"
"Jiggle Jiggle (with Duke & Jones)","Louis Theroux","Jiggle Jiggle (with Duke & Jones)","Favorite Songs","Favorite","GBARL2201151","1I4lCSP69P74nU3a6Su5L2"
"Baptisms","Radical Face","The Bastards","Favorite Songs","Favorite","CAN111400549","4Uq87EQLfxW9ZBiNmIp2m1"
"Yoidoreshirazu","Kanaria","Yoidoreshirazu","Favorite Songs","Favorite","TCJPR2280966","26zbAdTJC4vqqpGwSzvh8Q"
"怪物","YOASOBI","怪物","Favorite Songs","Favorite","JPP302000760","06XQvnJb53SUYmlWIhUXUi"
"チキチキバンバン - TV Ver.","QUEENDOM","チキチキバンバン (TV Ver.)","Favorite Songs","Favorite","JPB602201446","5V1bKI60cPKn4K4g0y8EV1"
"Complicated","Avril Lavigne","Let Go","Favorite Songs","Favorite","USAR10200223","5xEM5hIgJ1jjgcEBfpkt2F"
"Sk8er Boi","Avril Lavigne","Let Go","Favorite Songs","Favorite","USAR10200229","00Mb3DuaIH1kjrwOku9CGU"
"喜劇","Gen Hoshino","喜劇","Favorite Songs","Favorite","JPVI02200563","6pllZAdgBf4QTcFUrF3DzL"
"小喋日和","FantasticYouth","小喋日和","Favorite Songs","Favorite","JPPO02200949","4AElkruOc9gECdltSuV3JN"
"Never Had a Chance","Katherine Li","Never Had a Chance","Favorite Songs","Favorite","SGB502246485","7kWHoZvIn3TzxUHYrszYFc"
"The World Could End With You","Llunr","The World Could End With You","Favorite Songs","Favorite","USUYG1409710","4O5GWwr8fvgcJyYiEBEX0q"
"All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)","Taylor Swift","Red (Taylor's Version)","Favorite Songs","Favorite","USUG12103690","5enxwA8aAbwZbf5qCHORXi"
"Runaway","AURORA","All My Demons Greeting Me as a Friend (Deluxe)","Favorite Songs","Favorite","GBUM71500527","0TCmhnbMpw5zwPsTvlXTJi"
"Loyal to the Beat","塞壬唱片-MSR","Loyal to the Beat","Favorite Songs","Favorite","TWU712102668","5ibgMkP0JgBe5yqu40cUvm"
"Hurtless","Dean Lewis","Hurtless","Favorite Songs","Favorite","AUUM72100595","6HJizCbaqaEQG1eLjn341Z"
"Bring Sally Up - Workout","HIIT BPM","Bring Sally Up - Workout","Favorite Songs","Favorite","TCAEO1952173","6IB7b4cXvYPhQsQHdmn1uE"
"Espacio en Tu Corazón","Enrique Iglesias","Espacio en Tu Corazón","Favorite Songs","Favorite","USSD12200187","0GIQqhTJpBvAUwThmUHbPj"
"僕が死のうと思ったのは - From THE FIRST TAKE","Mika Nakashima","僕が死のうと思ったのは - From THE FIRST TAKE","Favorite Songs","Favorite","JPU902105227","42gpqMK1oKf1Xq8DCGHGuF"
"僕が死のうと思ったのは","amazarashi","メッセージボトル","Favorite Songs","Favorite","JPU901602684","1YA15UrY0IG7qP4kYKdpu1"
"ただ声一つ","Rokudenashi","ただ声一つ","Favorite Songs","Favorite","JPPO02104849","2e1gUS6Wv8GS8ZT6FMeE1J"
"Let Somebody Go","Coldplay","Let Somebody Go (Kygo Remix)","Favorite Songs","Favorite","GBAYE2100947","3zZl8eEazg9rs9VpgFT5lP"
"Zeit","Rammstein","Zeit","Favorite Songs","Favorite","DEUM72118403","6eOGjyegLDZqCvCZ3divgp"
"Turn Away","Sea Lemon","Turn Away","Favorite Songs","Favorite","GX3HH2215509","7MkeCdUalECnndIETnaq9G"
"GET IT","keshi","GET IT","Favorite Songs","Favorite","USUM72123275","1jtdHYkk7RZNSeGWLxXwrS"
"Mr. Brightside","The Killers","Hot Fuss","Favorite Songs","Favorite","USIR20400274","7oK9VyNzrYvRFo7nQEYkWN"
"Welcome to the Black Parade","My Chemical Romance","The Black Parade","Favorite Songs","Favorite","USRE10602613","5wQnmLuC1W7ATsArWACrgW"
"Airplanes (feat. Hayley Williams of Paramore)","B.o.B","B.o.B Presents: The Adventures of Bobby Ray","Favorite Songs","Favorite","USAT21000477","6lV2MSQmRIkycDScNtrBXO"
"The Joker And The Queen (feat. Taylor Swift)","Ed Sheeran","The Joker And The Queen (feat. Taylor Swift)","Favorite Songs","Favorite","GBAHS2200019","6N1K5OVVCopBjGViHs2IvP"
"Starving","Hailee Steinfeld","Starving","Favorite Songs","Favorite","USUM71606370","4Ce37cRWvM1vIGGynKcs22"
"Moth To A Flame (with The Weeknd)","Swedish House Mafia","Moth To A Flame","Favorite Songs","Favorite","USUG12105524","4yEmhRpoCtT07pMhFWJHER"
"Gospel (with Eminem)","Dr. Dre","Gospel (with Eminem)","Favorite Songs","Favorite","USUM72123988","3a2jFwnts4Cf0OwJbK61SL"
"Without You","Lapalux","Nostalchic","Favorite Songs","Favorite","GBCFB1207506","32CFVYfYT4wE1MTNWj66Rt"
"Jigsaw","Conan Gray","Jigsaw","Favorite Songs","Favorite","USUM72200064","1WzOonguDKuWQrTTf5yR0D"
"Dive Back In Time - Live","BaishaJAWS","2021最美的夜bilibili晚会 (Live)","Favorite Songs","Favorite","FR10S2225943","1gxAxZcHD5hp2uC7SbKglL"
"Peru - Acoustic","Fireboy DML","Peru (Acoustic)","Favorite Songs","Favorite","USUYG1410220","6RAFf0mJ498F0GzrFZ1ZsS"
"Burn Butcher Burn (From ""The Witcher: Season 2"" Soundtrack)","Joseph Trapanese","The Witcher: Season 2 (Soundtrack from the Netflix Original Series)","Favorite Songs","Favorite","QZ8BZ2101136","6Hp57iv0VLGgmWyOFx8iUm"
"Looks Like Me - Piano Acoustic","Dean Lewis","Looks Like Me (Acoustic)","Favorite Songs","Favorite","AUUM72100538","256ArsGaVttMIF56zoSzT9"
"Never Been in Love","Haley Mae Campbell","Never Been in Love","Favorite Songs","Favorite","TCAFL2120144","4SACHtzLlcNaUKGYC9oX30"
"Hikare Inochi","Kitri","Hikare Inochi","Favorite Songs","Favorite","JPCO02117110","0ltIx8PLjtWoS9zn9PqsZW"
"bad feeling","Beowülf","bad feeling","Favorite Songs","Favorite","QZNWW2163209","3pyHRmevj1wUDLUrKaU0qg"
"I Believe In Us (Arknights Soundtrack)","Reigan","I Believe In Us (Arknights Soundtrack)","Favorite Songs","Favorite","NLRD52032349","0cu5N4t6HjFo80B2lGkXBz"
"Never Give Up (Arknights Soundtrack)","StayLoose","Never Give Up (Arknights Soundtrack)","Favorite Songs","Favorite","NLRD52032346","2K93b71bQC0y8wTkR7Dz9w"
"Last Of Me - Arknights Soundtrack","Steve Aoki","Last Of Me (Arknights Soundtrack)","Favorite Songs","Favorite","USUS12000366","0GJMYrWlMaAf3t3tqjrkr6"
"End Like This (feat. RUNN) - Arknights Soundtrack","Steve Aoki","End Like This (feat. RUNN) [Arknights Soundtrack]","Favorite Songs","Favorite","USUS12000816","6ExQ3wt9pDp0xdU7QbG49s"
"What Angel Wakes Me","祖堅 正慶","SHADOWBRINGERS: FINAL FANTASY XIV Original Soundtrack","Favorite Songs","Favorite","JPA841900578","3MaVBgFdWKT674yvLj0kPF"
"Who Brings Shadow","祖堅 正慶","SHADOWBRINGERS: FINAL FANTASY XIV Original Soundtrack","Favorite Songs","Favorite","JPA841900595","3nYfqm2lnCQQiWKOc0xcP5"
"Shadowbringers","祖堅 正慶","SHADOWBRINGERS: FINAL FANTASY XIV Original Soundtrack","Favorite Songs","Favorite","JPA841900522","1MOsWaaMx4L7YUYGu7LdEx"
